freq,unit,age,sex,geo,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2024,2025,time,values
A,PC,Y18-24,M,PL,,,12.4,11.1,9.2,6.5,5.5,6.5,6.1,6.8,6.4,6.6,2.8,3.5,2015,5.2
A,PC,Y18-24,M,RO,,,,,7.1,7.7,6.0,6.4,5.5,5.8,6.0,5.1,4.4,8.1,2015,5.5
A,PC,Y18-24,M,SK,,,4.7,4.2,4.5,3.6,3.7,5.3,5.7,5.3,6.6,6.5,3.8,,2015,6.0
A,PC,Y18-24,T,AT,54.7,4.9,5.2,5.8,5.3,4.7,4.9,6.3,5.7,5.6,4.6,5.6,5.5,,2015,5.0
A,PC,Y18-24,T,CZ,,,7.1,7.3,7.3,4.9,3.6,4.8,4.7,5.2,6.9,4.2,4.3,4.0,2015,4.8
A,PC,Y18-24,T,HU,,,5.6,10.1,10.8,11.2,9.8,8.8,10.8,12.9,13.2,11.8,5.6,4.5,2015,7.4
A,PC,Y18-24,T,PL,,,12.6,11.4,9.0,6.7,5.3,6.5,5.8,6.2,6.1,6.9,3.4,3.4,2015,5.4
A,PC,Y18-24,T,RO,,,,,6.8,7.1,5.9,6.2,5.9,6.5,6.0,4.9,3.5,8.7,2015,6.4
A,PC,Y18-24,T,SK,,,4.5,4.1,4.6,3.4,3.9,5.5,5.1,5.2,5.9,5.9,3.7,,2015,6.4
A,PC,Y18-59,F,AT,41.3,8.6,9.7,10.0,10.8,9.3,9.2,9.8,10.2,9.6,9.0,10.8,7.1,,2015,9.7
A,PC,Y18-59,F,CZ,,,10.5,9.9,9.8,8.6,7.6,7.6,7.7,7.9,8.3,8.3,5.8,5.7,2015,7.6
A,PC,Y18-59,F,HU,,,11.1,13.6,12.7,13.5,12.0,12.1,12.8,12.9,13.4,12.9,5.0,4.6,2015,9.5
A,PC,Y18-59,F,PL,,,16.2,14.4,11.9,9.6,8.4,9.1,8.5,8.2,8.3,8.4,4.6,4.3,2015,7.9
A,PC,Y18-59,F,RO,,,,,12.0,10.9,10.7,10.0,9.8,10.2,9.7,8.7,5.8,8.0,2015,9.3
A,PC,Y18-59,F,SK,,,8.4,7.3,7.7,6.3,6.1,8.5,8.1,7.7,7.7,6.6,5.1,,2015,6.2
A,PC,Y18-59,M,AT,39.9,6.2,6.1,6.8,6.8,6.6,5.9,7.0,7.9,6.8,6.9,7.8,7.1,,2015,7.1
