freq,quant_inc,coicop,unit,geo,1988,1994,1999,2005,2010,time,values
A,QU1,CP081,PM,AT,,6.5,0.6,1.0,1.0,2015,1.0
A,QU1,CP081,PM,CZ,,,,1.0,1.0,2015,1.0
A,QU1,CP081,PM,HU,,,,0.0,0.0,2015,0.0
A,QU1,CP081,PM,PL,,,,,0.0,2015,0.0
A,QU1,CP081,PM,RO,,,,0.0,0.0,2015,0.0
A,QU1,CP081,PM,SK,,,,1.0,1.0,2015,0.0
A,QU1,CP082,PM,AT,,6.5,2.0,1.0,2.0,2015,3.0
A,QU1,CP082,PM,CZ,,,,4.0,1.0,2015,2.0
A,QU1,CP082,PM,HU,,,,2.0,1.0,2015,1.0
A,QU1,CP082,PM,PL,,,,1.0,0.0,2015,0.0
A,QU1,CP082,PM,RO,,,,1.0,0.0,2015,0.0
A,QU1,CP082,PM,SK,,,,0.0,0.0,2015,0.0
A,QU1,CP083,PM,AT,,6.5,30.8,27.0,21.0,2015,14.0
A,QU1,CP083,PM,CZ,,,,43.0,46.0,2015,43.0
A,QU1,CP083,PM,HU,,,,52.0,39.0,2015,47.0
A,QU1,CP083,PM,PL,,,,40.0,35.0,2015,38.0
A,QU1,CP083,PM,RO,,,,25.0,24.0,2015,31.0
A,QU1,CP083,PM,SK,,,,39.0,41.0,2015,45.0
A,QU1,CP09,PM,AT,,77.6,106.7,114.0,101.0,2015,98.0
A,QU1,CP09,PM,CZ,,,,97.0,93.0,2015,81.0
A,QU1,CP09,PM,HU,,,,53.0,43.0,2015,32.0
A,QU1,CP09,PM,PL,,,,38.0,42.0,2015,38.0
A,QU1,CP09,PM,RO,,,,29.0,26.0,2015,26.0
A,QU1,CP09,PM,SK,,,,37.0,40.0,2015,43.0
A,QU1,CP091,PM,AT,,0.0,13.6,17.0,18.0,2015,13.0
A,QU1,CP091,PM,CZ,,,,18.0,12.0,2015,5.0
A,QU1,CP091,PM,HU,,,,9.0,4.0,2015,2.0
A,QU1,CP091,PM,PL,,,,4.0,4.0,2015,4.0
A,QU1,CP091,PM,RO,,,,2.0,0.0,2015,0.0
A,QU1,CP091,PM,SK,,,,4.0,2.0,2015,8.0
A,QU1,CP092,PM,AT,,0.0,4.0,2.0,1.0,2015,1.0
A,QU1,CP092,PM,CZ,,,,1.0,0.0,2015,1.0
A,QU1,CP092,PM,HU,,,,0.0,0.0,2015,0.0
A,QU1,CP092,PM,PL,,,,,0.0,2015,0.0
A,QU1,CP092,PM,RO,,,,0.0,0.0,2015,0.0
A,QU1,CP092,PM,SK,,,,1.0,0.0,2015,0.0
A,QU1,CP093,PM,AT,,0.0,20.8,21.0,21.0,2015,20.0
A,QU1,CP093,PM,CZ,,,,24.0,19.0,2015,21.0
A,QU1,CP093,PM,HU,,,,9.0,9.0,2015,8.0
A,QU1,CP093,PM,PL,,,,5.0,6.0,2015,8.0
A,QU1,CP093,PM,RO,,,,1.0,1.0,2015,1.0
A,QU1,CP093,PM,SK,,,,7.0,9.0,2015,4.0
A,QU1,CP094,PM,AT,,0.0,28.5,25.0,21.0,2015,20.0
A,QU1,CP094,PM,CZ,,,,24.0,31.0,2015,28.0
A,QU1,CP094,PM,HU,,,,14.0,18.0,2015,13.0
A,QU1,CP094,PM,PL,,,,18.0,23.0,2015,15.0
A,QU1,CP094,PM,RO,,,,18.0,20.0,2015,22.0
A,QU1,CP094,PM,SK,,,,13.0,15.0,2015,20.0
A,QU1,CP095,PM,AT,,12.2,18.1,15.0,15.0,2015,10.0
A,QU1,CP095,PM,CZ,,,,15.0,14.0,2015,12.0
A,QU1,CP095,PM,HU,,,,16.0,8.0,2015,5.0
A,QU1,CP095,PM,PL,,,,8.0,6.0,2015,5.0
A,QU1,CP095,PM,RO,,,,6.0,3.0,2015,2.0
A,QU1,CP095,PM,SK,,,,10.0,9.0,2015,5.0
A,QU1,CP096,PM,AT,,0.0,21.6,35.0,25.0,2015,33.0
A,QU1,CP096,PM,CZ,,,,15.0,16.0,2015,14.0
A,QU1,CP096,PM,HU,,,,5.0,4.0,2015,3.0
A,QU1,CP096,PM,PL,,,,3.0,3.0,2015,6.0
A,QU1,CP096,PM,RO,,,,0.0,1.0,2015,1.0
A,QU1,CP096,PM,SK,,,,2.0,5.0,2015,6.0
A,QU1,CP10,PM,AT,,22.0,4.6,9.0,6.0,2015,13.0
A,QU1,CP10,PM,CZ,,,,8.0,1.0,2015,2.0
A,QU1,CP10,PM,HU,,,,6.0,4.0,2015,4.0
A,QU1,CP10,PM,PL,,,,3.0,3.0,2015,3.0
A,QU1,CP10,PM,RO,,,,2.0,1.0,2015,1.0
A,QU1,CP10,PM,SK,,,,6.0,1.0,2015,2.0
A,QU1,CP101,PM,AT,,4.4,0.1,2.0,0.0,2015,1.0
A,QU1,CP101,PM,CZ,,,,,0.0,2015,0.0
A,QU1,CP101,PM,HU,,,,2.0,1.0,2015,0.0
A,QU1,CP101,PM,PL,,,,,1.0,2015,1.0
A,QU1,CP101,PM,RO,,,,0.0,0.0,2015,0.0
A,QU1,CP101,PM,SK,,,,1.0,0.0,2015,0.0
A,QU1,CP102,PM,AT,,4.4,0.4,0.0,0.0,2015,1.0
A,QU1,CP102,PM,CZ,,,,,0.0,2015,0.0
A,QU1,CP102,PM,HU,,,,1.0,0.0,2015,0.0
A,QU1,CP102,PM,PL,,,,,0.0,2015,0.0
A,QU1,CP102,PM,RO,,,,1.0,0.0,2015,0.0
A,QU1,CP102,PM,SK,,,,1.0,0.0,2015,1.0
A,QU1,CP103,PM,AT,,4.4,0.4,0.0,0.0,2015,0.0
A,QU1,CP103,PM,CZ,,,,,0.0,2015,0.0
A,QU1,CP103,PM,HU,,,,0.0,0.0,2015,0.0
A,QU1,CP103,PM,PL,,,,,0.0,2015,0.0
A,QU1,CP103,PM,RO,,,,,0.0,2015,0.0
A,QU1,CP103,PM,SK,,,,0.0,0.0,2015,0.0
A,QU1,CP104,PM,AT,,4.4,0.4,3.0,1.0,2015,6.0
A,QU1,CP104,PM,CZ,,,,,0.0,2015,0.0
A,QU1,CP104,PM,HU,,,,2.0,2.0,2015,2.0
A,QU1,CP104,PM,PL,,,,,1.0,2015,1.0
A,QU1,CP104,PM,RO,,,,1.0,0.0,2015,0.0
A,QU1,CP104,PM,SK,,,,1.0,0.0,2015,0.0
A,QU1,CP105,PM,AT,,4.4,3.4,3.0,3.0,2015,5.0
A,QU1,CP105,PM,CZ,,,,,1.0,2015,1.0
A,QU1,CP105,PM,HU,,,,2.0,0.0,2015,1.0
A,QU1,CP105,PM,PL,,,,,0.0,2015,1.0
A,QU1,CP105,PM,RO,,,,,0.0,2015,0.0
A,QU1,CP105,PM,SK,,,,3.0,0.0,2015,0.0
A,QU1,CP11,PM,AT,,41.1,42.1,49.0,52.0,2015,64.0
A,QU1,CP11,PM,CZ,,,,54.0,33.0,2015,40.0
A,QU1,CP11,PM,HU,,,,23.0,22.0,2015,13.0
A,QU1,CP11,PM,PL,,,,19.0,20.0,2015,40.0
A,QU1,CP11,PM,RO,,,,6.0,3.0,2015,4.0
A,QU1,CP11,PM,SK,,,,32.0,16.0,2015,34.0
A,QU1,CP111,PM,AT,,41.1,41.4,48.0,52.0,2015,62.0
A,QU1,CP111,PM,CZ,,,,45.0,31.0,2015,36.0
A,QU1,CP111,PM,HU,,,,22.0,20.0,2015,13.0
A,QU1,CP111,PM,PL,,,,18.0,19.0,2015,39.0
A,QU1,CP111,PM,RO,,,,4.0,2.0,2015,4.0
A,QU1,CP111,PM,SK,,,,28.0,16.0,2015,31.0
A,QU1,CP112,PM,AT,,0.0,0.7,0.0,1.0,2015,2.0
A,QU1,CP112,PM,CZ,,,,9.0,3.0,2015,4.0
A,QU1,CP112,PM,HU,,,,1.0,2.0,2015,1.0
A,QU1,CP112,PM,PL,,,,1.0,1.0,2015,1.0
A,QU1,CP112,PM,RO,,,,2.0,1.0,2015,0.0
A,QU1,CP112,PM,SK,,,,4.0,1.0,2015,2.0
A,QU1,CP12,PM,AT,,56.0,85.0,87.0,88.0,2015,82.0
A,QU1,CP12,PM,CZ,,,,100.0,58.0,2015,67.0
A,QU1,CP12,PM,HU,,,,52.0,46.0,2015,48.0
A,QU1,CP12,PM,PL,,,,35.0,36.0,2015,41.0
A,QU1,CP12,PM,RO,,,,18.0,16.0,2015,17.0
A,QU1,CP12,PM,SK,,,,47.0,33.0,2015,41.0
A,QU1,CP121,PM,AT,,24.6,30.0,26.0,30.0,2015,27.0
A,QU1,CP121,PM,CZ,,,,32.0,30.0,2015,33.0
A,QU1,CP121,PM,HU,,,,20.0,14.0,2015,19.0
A,QU1,CP121,PM,PL,,,,18.0,20.0,2015,20.0
A,QU1,CP121,PM,RO,,,,14.0,13.0,2015,14.0
A,QU1,CP121,PM,SK,,,,24.0,20.0,2015,21.0
A,QU1,CP122,PM,AT,,0.0,,,0.0,2015,0.0
A,QU1,CP122,PM,CZ,,,,,0.0,2015,0.0
A,QU1,CP122,PM,HU,,,,,0.0,2015,0.0
A,QU1,CP122,PM,PL,,,,,0.0,2015,0.0
